,score_train,score_test,model
CMA,0.02451199920303959,-0.027757046216032366,"(1, 0, 1)"
CMCSA,-2.6503969685620632e-08,-0.010195549962514594,"(0, 0, 0)"
CME,0.009811253316738489,0.0021906236796517264,"(0, 0, 1)"
CMG,-1.0605633038451856e-08,-0.026316155853617573,"(0, 0, 0)"
CMI,0.009180942610064302,0.019749078734052627,"(1, 0, 1)"
CMS,0.0553207836288413,-0.21777297870850587,"(3, 0, 2)"
CNC,0.031384207649802764,-0.05645949256867655,"(0, 0, 1)"
CNP,0.03747091815127268,-0.03972701616737351,"(1, 0, 1)"
COF,0.0755131652410389,-0.122574078293052,"(3, 0, 2)"
COO,0.026588054960663743,0.017418223381922004,"(2, 0, 2)"
COP,0.010277214424548764,-0.05549674377056579,"(1, 0, 0)"
COR,0.012581961746460868,-0.022903768947953207,"(0, 0, 2)"
COST,0.00895852023706345,-0.03579652805874978,"(2, 0, 2)"
CPAY,0.024691909475535123,0.012779087877579087,"(1, 0, 1)"
CPB,0.02575287110047364,-0.1915416125265883,"(0, 0, 2)"
CPRT,0.01532942205147747,-0.09293405440382663,"(0, 0, 2)"
CPT,0.05047463173801592,-0.05242913630894486,"(2, 0, 2)"
CRL,0.010494188258663217,0.020082975388764246,"(0, 0, 1)"
CRM,0.016407689771849365,-0.06265043440534734,"(0, 0, 1)"
CSCO,-2.333274062849e-08,-0.0005017429321676481,"(0, 0, 0)"
CSGP,0.011154901285043706,0.003813433667869237,"(0, 0, 2)"
CSX,-1.7669166574307837e-08,-0.0012378469135350123,"(0, 0, 0)"
CTAS,0.006514888084146908,0.021512628832832004,"(1, 0, 0)"
CTRA,-1.0087271906655815e-08,-0.0002746843603933513,"(0, 0, 0)"
CTSH,0.0070663381627826816,0.0003171248628669465,"(1, 0, 0)"
CVS,0.01597398129794869,-0.02913973665311631,"(0, 0, 2)"
CVX,-1.7221387205168526e-08,-0.02562066952929465,"(0, 0, 0)"
D,0.022045082374823832,-0.08996340410184156,"(1, 0, 2)"
DAL,0.03648793960279573,0.0015149644465931589,"(2, 0, 2)"
DD,0.012548176856774007,-0.014519936370691156,"(2, 0, 0)"
DE,0.010815802140372699,0.04356499492029087,"(0, 0, 1)"
DECK,0.008450269921622566,-0.023180113474902786,"(0, 0, 1)"
DFS,0.09805030316842356,-0.18853780488657734,"(3, 0, 2)"
DG,0.03469710605836118,-0.2957885914769627,"(2, 0, 2)"
DGX,0.036994680373701905,-0.02576217036809969,"(3, 0, 1)"
DHI,0.005436389323406066,-0.0517026443267401,"(1, 0, 0)"
DHR,0.007864007129148254,0.01608001646268431,"(1, 0, 0)"
