,score_train,score_test,benchmark,p_value,correlation
A,0.00738501824429505,-0.00640827563883728,-5.4272634348428994e-05,1.573811125627992e-05,0.027131339068119275
AAL,0.007352278209666552,0.009967044325752128,-0.000625278720884026,1.643818392015768e-05,0.10104888984058354
AAPL,0.003855769038079604,-0.012432925433100595,-0.01728661272535592,0.0018247843661320662,-0.04291255821726397
ABT,0.004679491881980802,-0.008550171617184521,-0.00017862223966602642,0.0005926601562930504,-0.01404080322493007
ACGL,0.0035160418525342907,0.004520914470179438,-0.0024934793980899705,0.0029145731251079394,0.0681161246410982
ACN,0.010239000056735392,-0.007852075389732871,-0.008340800786527325,3.616285873222167e-07,0.020153702836182258
ADBE,0.013849492893913573,-0.04242136409309616,-0.01556366493315453,3.1612456451171027e-09,-0.09451293457017515
ADI,0.02644972249244759,-0.020163497263026686,-0.003519226716415691,2.1829684097206993e-16,0.019659557812896064
ADM,0.004276625355112751,-0.008186043694971445,-0.0033660972482210116,0.001025516143793488,0.07376663673396128
ADP,0.021315033824582996,-0.0053930118716445374,-3.491252114584675e-05,1.8130128205234657e-13,0.06900450000227205
ADSK,0.0017406163986409817,0.0006547253144489895,-0.004099789932598075,0.036313200530075466,0.03252527294604446
AEE,0.010372513795643079,-0.029221623137033692,-0.001918195808549239,3.03340149355228e-07,-0.04309548270025472
AEP,4.526548462191471e-05,-0.004774569758219549,-0.000843379055846194,0.7357828314149594,0.022141237048770523
AES,0.010513326051774574,-0.018564510041227056,-0.0033496542709474664,2.5202741753216424e-07,0.009420749791454928
AFL,0.0018982229644427528,-0.0012214240384684771,-0.003309955160751832,0.028800183455398212,0.008573731763764601
AIG,0.00012853818463220978,0.0017287223001201113,-0.0009595194663838402,0.5695962101711051,0.08191756882170952
AIZ,0.008153380534583365,0.009825169761738528,-0.006693614687308225,5.677669259837772e-06,0.11007020820398199
AJG,0.013058913516916126,-0.0008017224798055889,-0.004662139062896253,8.907921908699253e-09,0.05375333854370148
AKAM,3.702971338659378e-05,-0.003344317255846274,-0.009600234653067252,0.7602101760355375,0.07183092611455437
ALB,0.00033301108172478777,-0.0028651268456678647,-0.0014492712449534206,0.3600184432807495,0.04798499477378545
ALGN,0.00011174209965103543,0.0012941722765446029,-0.0022440147913815878,0.5959792050560961,0.07465961934225677
ALL,0.004877587687707519,-0.0018042364296115831,-0.0005339974611986431,0.0004530569127511368,0.024313923953286666
AMAT,0.01253789269454919,-0.013946336822095562,-0.011704915634833224,1.7639412590809768e-08,0.008522360886234792
AMD,0.001484601225590132,-0.00676919573815038,-0.01596838107650589,0.05321069887155822,-0.019178208732967793
AME,0.006999489321049657,0.004925056464899824,-0.004320789935814862,2.6285848557563164e-05,0.07172588082997909
AMGN,0.005912959698703646,-0.00650544553102006,-0.002049110095104778,0.00011227453836823472,-0.003556722740483706
AMP,0.019824252619489502,-0.014029323480028832,-0.0037901539835334397,1.274002441990831e-12,0.02060066606924507
AMT,0.004327470225254149,-0.004184366816885943,-0.0004329788484425112,0.0009567883186700501,0.0030769517516048687
AMZN,0.0001613556656701043,-0.004293511629938074,-0.015547125374559156,0.5240461496737516,0.08405025166502395
ANSS,0.006746252818958909,-0.018164540147285413,-0.007889941923923116,3.683841338722397e-05,-0.04697103052245619
AON,0.001653850983550087,-0.008335293697024904,-1.5244609357090155e-06,0.04129893899756294,-0.022841819296288132
AOS,0.0005656011599374233,-0.0028603776734181796,-0.00918113145561561,0.23288196775033507,0.019516932849821433
APA,0.0035861115823188072,-0.007775018957199009,-0.0007840461952004496,0.0026455814633873837,-0.016090869531604397
APD,0.010392783460262178,-0.026681824997550452,-0.0002615602349689272,2.9535422001237104e-07,-0.05451067078498086
APH,0.0030598273579108826,-0.011173868933791686,-0.010023901761905263,0.005495238903505215,-0.061448100382112666
APTV,0.0011188849870654716,0.003427344984649583,-9.889357993175807e-06,0.09332109798689435,0.0854248293479186
ARE,0.0040593504305102,-0.00856119101273678,-4.2917316438018105e-05,0.0013801902548994137,-0.0273354898324715
ATO,0.005110605892730824,-0.009688912262831417,-0.000686725151639811,0.00033057318473491505,-0.024323018492333898
AVB,0.001707607746603057,0.000251162244463643,-0.003500469983479748,0.03813122080032023,0.04199560250796888
AVGO,0.009150455579313932,-0.02183220513442352,-0.022942592264880934,1.518882385147209e-06,-0.028253829416726405
AVY,0.001039943270697119,0.0015310605022245127,-0.0018862033750244311,0.10570159347079768,0.045669898580795724
AWK,0.0007425894907201469,-0.013211816175395352,-0.0008885285632975748,0.17162658497556277,-0.09173856073220577
AXON,1.036285368627432e-07,-0.0002291214332368341,-0.007986458299127364,0.9871183037903184,0.07649471763838395
AXP,0.002553174444715589,-0.0035416252157256523,-0.004863707919678495,0.011216287510621339,0.0018922553079559659
AZO,0.006312682070400699,-0.006400902537654796,-0.0004348772035129844,6.573253419612955e-05,0.015119700422500673
BA,0.0036690566245553002,-0.0010158360128214028,-0.0067171509150909525,0.0023594774941913957,0.0327716833747511
