,score_train,score_test
BKR,-0.37406281625710736,-0.8747102485448304
BLDR,-0.003160683463185876,0.00217583954888545
BLK,-0.013995703948619376,-0.01370478511677109
BMY,0.0020814860763485044,0.00024577848333506847
BR,-0.00033937954443485907,-0.0011329168211324792
BRO,-0.1654973192483553,-0.4025431151905716
BSX,-0.0032119267977108734,0.002950693968128637
BWA,-0.000290229363429928,-0.004274633760900093
BX,-0.013457438624306262,-0.053509299243922115
BXP,0.0010739438552057612,-0.007798593358788963
C,-2.9442896629925897,-5.800864673977291
CAG,-0.0010373741017055682,-0.006588327252415427
CAH,-0.0030685523474025533,-0.0044953326363534885
CAT,-0.7484059490825214,-1.6693525580779682
CB,0.00040121720811647776,0.00010956923044436184
CBOE,-0.001943639147188314,-0.004142939584231176
CBRE,-0.002242914564992704,-0.0017632196931023358
CCI,-55.58693052788752,-115.55302525023389
CCL,-2.1911672428328104,-4.25680789217704
CDNS,0.00012126343135698825,-0.017705252318132247
CE,-0.43956274058322387,-0.8125474793003076
CF,-0.001471937088268982,-0.0064407395352843455
CHD,0.0006201067086250012,-0.004631653395595903
CHRW,-1.3446060326098372,-2.58510213799094
CHTR,-0.0017337309206690854,0.0020173136397085845
CI,-0.5587876212330884,-1.0514888021090392
CINF,-0.003378833544641857,-0.004450408213045209
CL,-0.0010144071742443916,-0.007255028135459529
CLX,-0.003945184298145499,-0.023908926963166488
CMA,0.00017926725732619886,0.00015908642104756066
CMCSA,-0.46770873223694287,-0.8457542299258245
CME,-0.005440594883137084,-0.002582693023423843
CMG,-0.0014693923852864277,-0.013049633473971145
CMI,-0.7053542893482849,-1.3239138919429272
CMS,-0.01702229192479443,-0.030450424096822193
CNC,-0.0019180021011206971,-0.00815629828395914
CNP,-0.621679053813275,-1.4078699281953946
COF,-0.00836576668050193,0.0010112205985257638
COO,-3.0675200337301005,-6.059073317403337
COP,-0.0058881493209204105,-0.008338292833146133
COR,-0.01356164084017486,-0.03557355537805407
COST,-0.004016336763711603,-0.0006370310882179986
CPAY,0.0005315735312391157,-0.013007153665231197
CPB,0.0016695010676712752,-0.0018754408635679454
CPRT,-0.10270177409421088,-0.2539185521292362
CPT,-0.0027741548008659578,-0.004926521309373211
CRL,-0.0001589859725794618,-0.0010760683925532533
CRM,0.0017323579405338352,-0.016274910703788725
CSCO,-0.001378573357202706,-0.004556543037114391
CSGP,4.118630754057495e-05,-0.0005714224948922819
CSX,-0.002908374843195727,0.0015332812138639795
CTAS,-5.511061573421816,-10.97503647060368
CTRA,0.0006380816776982989,-0.0010808818688450295
CTSH,-0.11892838955983587,-0.19811544784497426
CVS,-0.0036477889916053385,-0.015553758565698628
CVX,-0.869258541163338,-1.6386396944481176
D,-0.005433879028743371,0.005666834722249603
DAL,-0.011148628951385353,-0.01867018697816958
DD,0.0015605327614953701,-0.004949509287855758
DE,-0.008420548031884634,-0.02806679693089076
DECK,-0.028684654614852922,-0.08167566889223132
DFS,-0.0008676824575746256,-0.01593339963985474
DG,-0.001322916382291428,-0.008568253807181625
DGX,-0.00023549364113772953,-0.005579205353406058
DHI,-0.0010276782961700093,0.008421695514365224
DHR,-38.225247401190494,-79.66640044942983
DIS,-4.668454925158409,-9.952808194714562
DLR,-0.19807459312382036,-0.46232611367315
DLTR,-0.0007442963593202734,-0.01015760834957713
DOC,-0.0004407324116657563,-0.009731529672926564
DOV,-1.18989642126673,-2.6268006517884603
DPZ,-4.741431670803214,-10.100986272934444
DRI,-0.00032247837599874707,-0.0045216772154252904
DTE,-0.00015519596888169396,-0.0014030161634326355
DUK,-0.0006977521691409194,-0.0012111624889559192
DVA,-0.022487822231786136,-0.08754581064274891
DVN,0.0027662596726741873,-0.0032643145477759816
DXCM,-0.0016522785918346994,-0.013543339257132692
EA,-0.3145994824228697,-0.7368768299567794
EBAY,-0.00010860872776485841,-0.001719035786327483
ECL,-0.013554690213390286,-0.06327932498248301
ED,-0.0005663289652013681,-0.00598754367800769
EFX,-0.0006378161355793388,0.003461386514943543
EG,0.0002478719566770815,-0.002879703680652046
EIX,-3.2712366919409517,-6.4648326785296035
EL,-0.0035237136001544656,-0.01225209303226582
ELV,0.0016092539830542263,-0.00042988070992744376
EMN,-0.24775747590210506,-0.5711305102398285
EMR,0.0008354569883771701,-0.006602144057459514
EOG,0.0003279098443388362,0.0028899435741676083
EQIX,-0.08274665144438864,-0.1326792125060794
EQR,-0.000813779683257021,-0.003981253152780528
EQT,-0.002115395592280356,-0.006354716904427571
ES,0.001528972522432781,-0.006857517205734354
ESS,0.00011782886647160318,-0.0014042930414568389
ETN,-0.00476524396140432,-0.0036530404475814127
ETR,-2.952092266188384,-5.87230098119005
EVRG,-0.00032555063880601587,-0.0007628278221594176
EW,0.0008713231593501236,-0.006955567187828304
EXC,0.0009097515494925767,-0.004358733172711515
EXPD,-0.12853891612501167,-0.21097352641369493
EXPE,-0.0031201546340482444,0.010508397660636049
EXR,-0.0036968244121191596,0.007810049437769084
F,-1.344466598145666,-2.590801281100188
FAST,-0.002810714030794914,0.000489690339217308
FCX,0.0009601444619671273,-0.0040401100256783895
FDS,-0.002849261628265598,-0.02354533065032105
FDX,-2.505072613533116,-5.367109696961609
FE,-0.005789026505714556,-0.004056042091176382
FFIV,-0.09835878964614819,-0.15556925536602906
FI,-0.0026545897291259113,-0.0059430108223688105
FICO,0.00032886226081851877,-0.008988658449090137
FIS,-0.13949214828891443,-0.23419503361410943
FITB,-0.3125351202839708,-0.7336201395757305
FMC,-0.0008424096660941682,-0.004225824680053947
FRT,-0.004987945138775762,-0.00270681638059167
FSLR,-0.0034328677137214214,-0.023942386948914596
FTNT,-0.002482704648359535,-0.01145450992177155
GD,-0.007568585299946973,-0.0052422604699031705
GE,-0.3151623956161729,-0.5735731137860525
GEN,-0.0006304466557951471,-0.007576871925448314
GILD,0.0014555831001767938,-0.002673324440619851
GIS,-0.0023826498933012807,0.0002598885372930848
GL,-0.014089769503244476,-0.01039271910475792
GLW,-11.398257275120994,-23.985607792494175
GM,-0.7129078801839543,-1.5881300003745706
GNRC,-2.385611372724811,-4.673994896194276
GOOG,-1.6573751362563294,-3.627101979869365
GOOGL,-0.003840116427650475,-0.0024320189741342535
GPC,0.0011644465623079636,-0.010300416366074705
GPN,-2.9080945387423944,-5.718491631617999
GRMN,0.0010930871279816179,-0.00923439589056918
GS,0.001053167549731504,-0.0044949388334447615
GWW,-0.003452030995216848,0.004440038445041483
HAL,-21.598163665318495,-43.72713515605434
HAS,-0.0026014453362848133,-0.014296579205477666
HBAN,-0.004949034422793819,-0.019438289643351148
HCA,-0.0051401167866387265,-0.013132357116324656
HD,-0.0005466717115947262,-0.0035882164616551915
HES,-0.2968238860772574,-0.6857450578397846
HIG,-0.0014438837826056261,-0.000460902053265988
HII,-0.07846346136697258,-0.20423800392263547
HOLX,-0.001543186958640641,-0.007929908219816317
HON,0.0017454030181012214,-0.004295162627417026
HPQ,-0.1291874899250529,-0.31522115923401106
HRL,-0.41511724473959877,-0.7642779084774334
HSIC,-0.007553151131721059,-0.009640219755506108
HST,-5.031491115930096,-10.715630616521429
HSY,-0.008409788110623762,-0.00029420493073883947
HUBB,-0.00328643122643979,0.002809201657682281
HUM,-6.291866549701375e-05,-0.003039279603931355
IBM,-0.005313823716151411,-0.025552528400584418
ICE,-0.36739090252269135,-0.8674442402607108
IDXX,-0.030740846332221183,-0.041878279848006406
IEX,-0.0035675279674372007,-0.0009262957703308761
IFF,-14.58387952747055,-30.648503297966727
ILMN,-0.001014872819410817,-0.0015411534963643003
INCY,-0.002047453512518338,-0.0017593492746439399
INTC,-0.0049105640689226515,-0.047194659967222385
INTU,-0.011566194453613177,-0.0104410162203461
IP,-0.01758050488413576,-0.05067851946471724
IPG,-3.9250033537486644,-8.390951281206796
IRM,-0.0016134237437352983,0.00030104709680478514
ISRG,-0.006377149817342165,-0.035384704260225996
IT,-0.0030047696576778193,-8.885994627516602e-05
ITW,-0.0065042330857445485,-0.00024480964977535713
IVZ,-0.06177770541802352,-0.15633870866975208
J,-0.30645475237515196,-0.7255953464578706
JBHT,-0.01086790827737194,-0.01673203738152851
JBL,-3.16790101998485,-6.264381659822648
JCI,-8.59381706198638,-18.14504706132975
JKHY,0.0011533881897981546,-0.003467147452353103
JNJ,0.0036902262480340564,0.002095397460480042
JNPR,-0.0016748095275753716,-4.1459574766644636e-05
JPM,-0.13294830767985233,-0.32595886084085324
K,-0.0003263190019213713,-0.000515024739567771
KDP,-0.0055742535165328455,-0.004349081449973147
KEY,-0.05427266896195393,-0.1556865199530164
KIM,0.0006172395347431303,-0.0004836586172500823
KLAC,-0.00133205273238457,-0.001811149769967324
KMB,-0.003575783278292999,-0.0014416154247531843
KMI,-0.0019300221954181573,-0.0010794831481681921
KMX,-0.029133957698828983,-0.04270321427241863
KO,-0.02169270382963262,-0.07037892158631598
KR,0.0007723327529728374,-0.002053932160068106
L,0.0018403201994783291,-0.0006209032086741395
LDOS,-0.10861456344724618,-0.2780818660186999
LEN,-0.002494800547284015,0.010956675812449745
LH,-0.0049682824130816705,-0.023813693163835747
LHX,-0.442701641270417,-0.8143477880618069
LIN,0.0006306848115550379,-0.004047964527933434
LKQ,-0.013132469614196562,-0.04093173846608522
LLY,0.0009167370629913352,-0.009566149406542435
LNT,-0.0011585621586107653,-0.02217724437075863
LOW,-1.54421522127147,-2.9972921422652883
LRCX,-0.0056443896195685905,0.009247012532405563
LULU,-0.0032644074059735573,0.0005746782652787941
LUV,-0.08218001341266712,-0.11356944380866318
LVS,-0.013566607333735714,-0.0013442331816619912
LYB,-0.002266698354966845,0.0003291482066996032
LYV,-2.4526178078996836,-5.284922608183113
MA,-0.003140806582563549,-0.002191994004937081
MAA,0.0016440445716674468,-0.0036808480735175397
MAR,-0.0035909905097943895,0.003402088587055485
MAS,-0.007506598559106292,-0.03882847153036684
MCD,0.000572481481848075,-0.002219204485006232
MCHP,-0.17025514011114584,-0.27583288126269534
MCK,-0.07841767883514406,-0.20520821095048292
MCO,0.0011474791569957565,-0.0044838552536998755
