,score_train,score_test
A,0.0605317028177611,-0.00987160606214954
AAL,0.07652494446468916,-0.017632584254668293
AAPL,0.06301907942222351,-0.013164860006169121
ABT,0.062316006266920576,0.01397871516192517
ACGL,0.14336708871384696,-0.018555794710763518
ACN,0.10084560124956399,-0.013632791855278992
ADBE,0.07698915014897023,-0.029511656464048963
ADI,0.09710808742267918,-0.07213846066773844
ADM,0.05510955976682974,-0.02162474724102781
ADP,0.09398184588138381,0.00912426994271165
ADSK,0.06192390091825695,0.011351435163127754
AEE,0.1036632896597981,-0.08225601274474448
AEP,0.1025205242423719,-0.022547633436225123
AES,0.06987069839316262,-0.02124488148056014
AFL,0.13645300423766693,-0.014286716649518194
AIG,0.12349427310413374,-0.06990016416013756
AIZ,0.07792730780287416,-0.03009533558166111
AJG,0.11161697771523504,-0.057398025045116485
AKAM,0.07378821252835488,-0.040551492539366185
ALB,0.05280144162580713,-0.0042718148866942585
ALGN,0.06350969168342124,-0.011227400655732023
ALL,0.07468165270491045,-0.015704749009100682
AMAT,0.0672810250147523,-0.018724960030948923
AMD,0.07600779410342062,-0.04239536144246969
AME,0.09413929745355776,0.009921246075556445
AMGN,0.05824281566217093,-0.026323440744141724
AMP,0.10950939779351021,-0.17467197567482917
AMT,0.08759926863233902,-0.0028481374148328076
AMZN,0.07121433097987917,-0.0290570148421887
ANSS,0.061592087086221214,-0.013202557934882675
AON,0.06758458805656176,-0.07631161798482688
AOS,0.06216252116877696,-0.0037026827217425673
APA,0.08867862471377297,-0.023441398068787755
APD,0.07827957971617339,-0.07797785378988942
APH,0.0699521195735403,-0.006581643720664276
APTV,0.07439845073855522,-0.008777690394681681
ARE,0.1272103957499915,-0.0056187848181386
ATO,0.08750162495746727,-0.01824281850048992
AVB,0.13251048715385427,-0.013301800128482366
AVGO,0.06917269867985698,0.004200212656373048
AVY,0.07027383755909045,-0.00661743222986555
AWK,0.09122852535259218,-0.07315405450959322
AXON,0.0562711970222195,-0.01995906974871886
AXP,0.10124151722934471,0.012768463468187496
AZO,0.06655056450001784,-0.022942878248484178
BA,0.08987562857362186,-0.03755022777478123
BAC,0.10717898365406908,-0.027898996176658475
BALL,0.04823675350778589,-0.005095296067942678
BAX,0.060124285072359784,-0.010035415107223722
BBWI,0.06793877588462904,-0.006164708641926087
BBY,0.07457344086045159,-0.014938102996742586
BDX,0.06346122371518803,-0.015390011776867052
BEN,0.06069417342942385,-0.017940459368475103
BG,0.06393115683420714,-0.005141018890283622
BIIB,0.05403550030289461,-0.4308588429578257
BIO,0.0646836839221997,-0.02530489328531993
BK,0.06574468928090571,0.0012237931566229099
BKNG,0.06515417006197521,0.007143275874317179
BKR,0.06391805889820479,-0.006286584865751621
BLDR,0.0710263287139451,-0.04301527688154705
BLK,0.10128451396041827,-0.05801636607276328
BMY,0.03697439632642463,-0.02978349848441697
BR,0.06939744269314552,-0.04540693044719757
BRO,0.08528824117526612,-0.014087422234518643
BSX,0.06579847625932933,-0.06561329554008655
BWA,0.05059779455821134,-0.02782895068053537
BX,0.06910793798172321,0.0037792023105853723
BXP,0.12143440946794315,-0.02243528869106859
C,0.07312920147522817,0.09184190953400417
CAG,0.07009108185163837,-0.0051878728427987575
CAH,0.06397563946706675,-0.031832257135300024
CAT,0.05520303163313711,0.0005335048432615341
CB,0.09749997279747169,-0.018638048331050427
CBOE,0.1008574425479496,-0.0021397285140007938
CBRE,0.07725754666323181,-0.004563928660509031
CCI,0.07042208671654049,0.008802428233288917
CCL,0.10811695162320467,-0.017446060705035737
CDNS,0.06692397142346052,-0.011652719895377306
CE,0.08176391091578461,-0.01834160409904584
CF,0.04806159126503251,0.005624380091015735
CHD,0.07796746410555666,-0.012023168142818008
CHRW,0.06283638007591796,-0.012644656735554483
CHTR,0.056326749925721065,-0.0007665475905684893
CI,0.06206046931221687,-0.014839440926031733
CINF,0.1178127591122794,-0.050267510826427886
CL,0.07993455959367513,-0.0018664972390416423
CLX,0.05832107400363973,-0.025739111810507254
CMA,0.10095922131392587,0.011332880862784389
CMCSA,0.06338272220003494,-0.05167355632184134
CME,0.09185178212218514,-0.012861019568074283
CMG,0.05962141319507119,0.014888413438083892
CMI,0.059238383494246705,-0.05961621077952728
CMS,0.09854501187283282,-0.024119797646702912
CNC,0.04870831398081232,-0.19137091303357678
CNP,0.10010783048659644,-0.04828188621707308
COF,0.09067085929559149,-0.027024143427435643
COO,0.06744179281048257,0.009861224000381918
COP,0.092069272851382,-0.03458821372846277
COR,0.0689305913197128,-0.07011080023201499
COST,0.071463499872221,-0.004028071373443076
CPAY,0.06384402706853842,0.0031216584626763133
CPB,0.059027184138295996,-0.02135315650601788
CPRT,0.06383348055592042,-0.025491076558573855
CPT,0.12067526637615722,0.001678482660971481
CRL,0.07207337574198991,0.012738585614595177
CRM,0.05755136783154147,-0.03567193522415857
CSCO,0.08572129426596575,-0.03612122879146562
CSGP,0.042404766029505825,-0.007652689179777683
CSX,0.08245988910806656,-0.02414193166440115
CTAS,0.11087567879072202,-0.036659535138316324
CTRA,0.05830891809056937,-0.01752261839990732
CTSH,0.07805397573198358,-0.020726575798982738
CVS,0.06311315375317894,-0.013956586206684829
CVX,0.11943957352776524,-0.07269256678764213
D,0.125208813608631,-0.011938693877396211
DAL,0.08634138144470982,-0.01640720846124788
DD,0.06549078965119437,-0.030921982884646093
DE,0.07568162668618117,-0.0021054608731316815
DECK,0.061354073662694186,-0.01280483668323007
DFS,0.15639673215801686,-0.24709333582046034
DG,0.05585249620288679,-0.049761017094104965
DGX,0.06530846778290866,-0.053340198172246334
DHI,0.06868895315257584,-0.033170059826770126
DHR,0.06317860786649154,-0.02976271631278027
DIS,0.07077573449462116,-0.014912823304430445
DLR,0.06701596575898594,-0.01047602849696383
DLTR,0.06293980222692264,-0.03809110138888672
DOC,0.12062015939399096,-0.07547875581880414
DOV,0.09434520075246955,0.006608878434349763
DPZ,0.06000648642348627,-0.023418983429145834
DRI,0.14586292982099813,-0.040659775441351576
DTE,0.14586024382071316,-0.030656205697004335
DUK,0.12071780712586389,-0.007729647495451131
DVA,0.06851078563915014,-0.022443671919886388
DVN,0.06993268896493832,-0.014472522422404266
DXCM,0.06102281749909888,-0.015287443061939632
EA,0.06436877878170666,-0.060785338048023885
EBAY,0.07436267116274131,-0.03158355508159061
ECL,0.08107313094612945,-0.022333873196549003
ED,0.10581260779272716,-0.01572145575051076
EFX,0.07181736505615832,-0.01670623374260316
EG,0.09678940417471027,-0.021167772824305375
EIX,0.1081348010744696,-0.007746895658576669
EL,0.07477821075110314,-0.01114965611617924
ELV,0.07912021071642816,0.001126710925837382
EMN,0.05514528369730243,-0.011782638715023719
EMR,0.11105538606878496,-0.12525798269403832
EOG,0.04512792524246301,0.029288833597239772
EQIX,0.05381847080852076,-0.00894830363586041
EQR,0.11285837221830874,-0.008196497026182747
EQT,0.06629461922885582,-0.0015021062038489408
ES,0.12816587022164994,-0.028965501765686463
ESS,0.11110075022284394,-0.03035478725053542
ETN,0.07196039063248771,0.013662466661923944
ETR,0.13622010115162597,-0.010991539087336744
EVRG,0.12122419816859309,-0.014269758710888425
EW,0.06864451069109534,-0.05448721650447963
EXC,0.1022208304225003,-0.1560174415642781
EXPD,0.05844956027818049,-0.025156437213034843
EXPE,0.08271325388183737,-0.04973165771040611
EXR,0.05206677666785142,0.0005214777909965385
F,0.06481450611394857,-0.011565069180610399
FAST,0.06254262385924603,-0.02322860499179269
FCX,0.06517136746615493,-0.0011661733993464374
FDS,0.09222658561883379,0.0006047470305551306
FDX,0.057957729471426744,-0.021032143456017227
FE,0.09529331910634808,-0.062201021075495966
FFIV,0.05478713411470859,-0.054402789615293434
FI,0.10266805459238271,0.020448023545287408
FICO,0.09185141763493487,-0.17398228125687187
FIS,0.08528512729279147,0.021604474638035276
FITB,0.10927691160452802,-0.01446531449638977
FMC,0.06316517480527817,-0.07887809688129055
FRT,0.13505507680746387,-0.040155360324302114
FSLR,0.06205932113803392,0.000984267214163781
FTNT,0.069486785593184,-0.017206841755120106
GD,0.08472137428140158,-0.03372222307002959
GE,0.07585030218953692,-0.016549631331399306
GEN,0.060686405493224904,0.014628185866064514
GILD,0.06257053046898875,-0.000757303583544866
GIS,0.06472930118274633,-0.03370975190317771
GL,0.10368271884169189,0.006114672246531616
GLW,0.05467556646822225,-0.028881373166218083
GM,0.06816817956865073,-0.008053267786212404
GNRC,0.06786470801029143,-0.0005624878440086967
GOOG,0.05669124683195059,-0.015855793396401863
GOOGL,0.04328186671198775,-0.06580777904880875
GPC,0.08878397461218379,-0.07477224764270152
GPN,0.06583173897138062,-0.049460352451710765
GRMN,0.0762436159880916,-0.06145971229782865
GS,0.10521614594947559,0.01820210006014944
GWW,0.051563974436374393,-0.0052639884948098015
HAL,0.0749571628692578,0.02765408049018392
HAS,0.06211145900273474,0.005944479241654421
HBAN,0.07284659064783783,-0.009235035004251602
HCA,0.0692914995695022,0.003658269588972418
HD,0.10493516671464609,-0.08531006698184473
HES,0.057488407624587845,0.019940744245856568
HIG,0.10422832066056176,-0.11311135937516537
HII,0.052881885674771145,-0.06673147817007496
HOLX,0.05011289679347142,-0.012342499232004256
HON,0.09828463920915809,-0.02057041567411133
HPQ,0.058984763846767096,-0.03684933626804776
HRL,0.06807985866782451,-0.03271363567494556
HSIC,0.06412621595938972,-0.026839720038556614
HST,0.08474211436665058,-0.007389860431581852
HSY,0.10471757890252642,-0.025744307510599418
HUBB,0.08122939751574332,-0.0003006849191955485
HUM,0.05763570447618094,0.01639491788971781
IBM,0.05923553095665035,0.0006797675078324961
ICE,0.07769132491367037,-0.012476637124569034
IDXX,0.0560946006331684,-0.014301383012248259
IEX,0.10080918155751273,-0.0013743079546273407
IFF,0.05794890907818062,-0.015707953026860677
ILMN,0.056247360165343374,-0.016665125444697004
INCY,0.0671045921009561,-0.2553680119444437
INTC,0.07773049612624106,-0.014292701710718392
INTU,0.07774888661521107,-0.014304547145435942
IP,0.08619949028407459,0.0009810472308934282
IPG,0.06926785163746219,-0.02886591416287554
IRM,0.07679613440550614,0.010009331782017905
ISRG,0.05675198655488567,0.01970686107842401
IT,0.0729084954798046,-0.04723711198108216
ITW,0.08885395567834253,0.00763769146236315
IVZ,0.07589986146772354,0.00023177823215148052
J,0.06478850399234437,-0.03664927336109414
JBHT,0.06326000202661008,-3.6318866672768735e-05
JBL,0.06280305988307389,-0.025487339320936275
JCI,0.058358235960247806,-0.07153201508713636
JKHY,0.06050797369565675,-0.008393057083635691
JNJ,0.07403045601908176,-0.042120550990478955
JNPR,0.05532233969267808,-0.005784888075007544
JPM,0.10848988480130084,-0.06329824279423235
K,0.05985822887336745,-0.03035187407734563
KDP,0.057252165137968936,-0.09643837048066994
KEY,0.11397969354237936,-0.0015218849001459311
KIM,0.11525541081932178,-0.02389277931395295
KLAC,0.06964813916748314,-0.016831064107718285
KMB,0.06862638444960045,-0.0102036808527588
KMI,0.10563395518853069,-0.01212026684150369
KMX,0.07509926669598743,-0.05550705426027536
KO,0.07225480852843946,-0.0393787036419293
KR,0.05939022158782015,-0.02039268266775296
L,0.11977549387370912,0.02092867531318554
LDOS,0.05394158102534097,-0.07390733252500326
LEN,0.055140089251197844,-0.011971057580487443
LH,0.10319947759069725,-0.007259646688099863
LHX,0.06783494955550329,0.0015556126405552595
LIN,0.0684002859623295,0.018477453116997555
LKQ,0.09105914260620862,-0.027847560081320832
LLY,0.05108243924439415,-0.003079767094940733
LNT,0.10271999152155376,-0.021009078739855358
LOW,0.09905280466477351,-0.007206911252525927
LRCX,0.07775047561738113,-0.04775317571880633
LULU,0.07975558823954687,-0.017064373417088996
LUV,0.07149823441249437,-0.01757174755007962
LVS,0.06238237724554796,-0.032226115000240085
LYB,0.07535686349528847,-0.016537655345796543
LYV,0.0760210388270498,-0.020310504891091874
MA,0.08104806848617063,-0.06369746508915486
MAA,0.09980725253021105,0.0023399763576171795
MAR,0.10771064532286634,-0.005117010598636673
MAS,0.06335447493097912,0.0009302719555444039
MCD,0.11435933586077174,-0.00038467634407757245
MCHP,0.07563445325524443,-0.01871302377631401
MCK,0.0771262555149077,-0.021571104868160607
MCO,0.07998269019229942,-0.023202302737931113
MDLZ,0.0772507526445102,-0.014982004500278201
MDT,0.08350056178442089,-0.009786626444182156
MET,0.08393793833099916,-0.07281750513950014
MGM,0.10511101849012161,-0.00949436555048555
MHK,0.06989805827768358,-0.030735353463062998
MKC,0.08924152463734603,-0.013448922158540544
MKTX,0.04155622760437505,-0.011757785288699418
MLM,0.07420307817636929,-0.032694239937841596
MMC,0.10586598863225538,-0.15313122688725156
MMM,0.06230800335229092,0.002949139192494399
MNST,0.06163866891268588,0.02499883818240911
MO,0.06219355762084111,-0.011942231166804484
MOH,0.061435403017820134,-0.014914318009501493
MOS,0.04803019966224331,-0.002655761747015317
MPC,0.06665731328072677,0.016520518768455617
MPWR,0.08394091806159776,-0.04230761530517446
MRK,0.05941347375916928,-0.018533795673873366
MRO,0.07370791094865903,-0.08324760233108974
MS,0.07968591516099777,-0.07562465013709585
MSCI,0.08085356673486277,-0.06097048888399703
MSFT,0.08266782216334889,-0.012390823469632162
MSI,0.06269032759185567,-0.01867765634616725
MTB,0.12085490891610495,-0.007906112160362078
MTCH,0.05924886609700997,-0.054013843424709274
MTD,0.056361930839059715,-0.008024757853636322
MU,0.054089686086035815,-0.02514033437524743
NDAQ,0.09164837460618569,-0.056862364056728065
NDSN,0.07764110419666925,0.008332835479225809
NEE,0.09069597942800822,-0.036934222221145285
NEM,0.05895910852648367,-0.011858784538652856
NFLX,0.049594815467478015,-0.01099669644062451
NI,0.07953883068097578,-0.03740029572964754
NKE,0.09564481284854753,-0.02441224144286336
NOC,0.06197173538609779,-0.03634239642309378
NRG,0.05903349243168421,-0.06824493539374688
NSC,0.059960427611811085,-0.01827268639673041
NTAP,0.07153195811661017,-0.03623246986046058
NTRS,0.06766411127550209,0.004924424421192342
NUE,0.054036442086748404,-0.008918844598477138
NVDA,0.07012833854493827,-0.019462020720864448
NVR,0.07531315053151433,-0.030272378687506096
NXPI,0.06273562531186239,-0.005645371180015957
O,0.11494662085198326,-0.19193841411382873
ODFL,0.05111830050561128,-0.004039410046083658
OKE,0.10366534626725388,-0.14873704574131597
OMC,0.08791632106715896,-0.01779980764802369
ON,0.06356617897778905,-0.037145622957784896
ORCL,0.0666955445662748,0.002272628849510183
ORLY,0.09136059514231809,-0.02013816502293375
OXY,0.10490721090029087,-0.02643291790103719
PARA,0.09713924885244363,-0.02471596506883622
PAYX,0.11034290807025282,-0.01676886190679605
PCAR,0.05075754113655229,-0.004216190453920188
PCG,0.1235422107873928,-0.39937707019723745
PEG,0.09630957362273007,-0.035943168338924414
PEP,0.12466476651766589,-0.07536058614314656
PFE,0.05658308158842784,-0.04536932791505088
PFG,0.08393420478945246,-0.05359519112028921
PG,0.08331650065270046,-0.017095271023123138
PGR,0.06979635559317832,-0.022055313200124438
PH,0.10249819405211757,-0.032330810361743456
PHM,0.06357873664735625,-0.029593803406953834
PKG,0.05991649853639702,-0.03572809365811924
PLD,0.08023118313460342,-0.03988365245693726
PM,0.09307836001321035,-0.06704398361543018
PNC,0.1299478195829048,-0.021680320208617765
PNR,0.06219396174585612,0.014306624183788141
PNW,0.09542494529320211,-0.019903658986530015
PODD,0.05357610515900213,-0.006634325395796781
POOL,0.06058427897884733,-0.0006423269676527621
PPG,0.0542133576736985,-0.011947595601156547
PPL,0.0793724993658832,-0.005189766791280359
PRU,0.0943713143057252,-0.0180444447910737
PSA,0.06982716579145054,-0.021211656109406007
PTC,0.05000827757628856,-0.02969729232001228
PWR,0.059476297424364666,0.006658256427408582
PXD,0.06131696828987965,-0.037940787428587974
QCOM,0.056665039346695756,0.0020046737887909893
RCL,0.11858367955585203,-0.0315911006758125
REG,0.12835900125905653,-0.08239173945374567
REGN,0.06028377421350695,-0.024624850397716447
RF,0.08916622691814113,-0.02671946579130724
RHI,0.06936128858646695,-0.013979440954876798
RJF,0.09460714512517054,0.04554897982175521
RL,0.06802554666117888,-0.017649688966027366
RMD,0.05446371034720354,0.002219159531393622
ROK,0.08142744486023656,-0.06288290966007626
ROL,0.056766994700104156,-0.014497561683822324
ROP,0.10308628475373405,-0.0018133694403901224
ROST,0.08337938537472833,-0.0009416814327996015
RSG,0.11350646001061404,-0.08351192655449635
RTX,0.11616270605644341,-0.14607563957168845
RVTY,0.05481286540180497,-0.006450634573414771
SBAC,0.05939564595977109,-0.0048994868671627945
SBUX,0.07710691132483716,-0.046582209730667845
SCHW,0.06693429284390762,-0.042898634449498374
SHW,0.05793010003183463,-0.0016391250312521866
SJM,0.06241641912528628,-0.03724999400328777
SLB,0.08378237634166708,-0.007068062274258935
SMCI,0.05035202293991081,-0.026475110893181775
SNA,0.07530390481118887,-0.02633523540804794
SNPS,0.0693268818038878,-0.0012835266043791371
SO,0.14184942710796855,-0.00016060674176210377
SPG,0.10724179032093373,-0.003812249068656959
SPGI,0.0904765314870829,-0.08986255690556977
SRE,0.10558741528955773,-0.009555644306156408
STE,0.07011547086880221,-0.028470661896373706
STLD,0.06762889635007863,0.024305072950163154
STT,0.08664842500443459,-0.08634138159330385
STX,0.054163128171545116,-0.031157584967664187
STZ,0.09945424835235661,-0.07286462410756989
SWK,0.10386015633851642,-0.020517174526716087
SWKS,0.06136185745111844,-0.020913342658881007
SYK,0.08062181424466497,-0.02293835040202863
SYY,0.1329678816170704,-0.03022948215051957
T,0.07269435919220646,-0.02767565014507678
TAP,0.09184334549016471,-0.029046331649271062
TDG,0.1342107703610026,-0.023816817252392486
TDY,0.1044581735828165,-0.18735555971233242
TECH,0.06848825441793427,-0.015223459670605344
TEL,0.04880859071158583,-0.02325514803887896
TER,0.05834821857792538,0.001517853165529215
TFC,0.13625422020834288,-0.0367068097846901
TFX,0.059648197723080276,-0.0037511899743387644
TGT,0.06730129447700739,-0.01503279894599463
TJX,0.07099747872381756,-0.018270126080742743
TMO,0.06339568611592727,-0.028081583842894053
TMUS,0.05827148082242717,-0.0045481842685937135
TPR,0.07931673565578512,-0.03171141152493795
TRGP,0.09676658258932025,-0.008435218103129971
TRMB,0.051966289871485105,-0.02542920841595775
TROW,0.0820194614955313,-0.008197050450241106
TRV,0.12502977794069203,-0.022967457047766926
TSCO,0.04979267017291411,0.008269034517606522
TSLA,0.06070751217886816,-0.00402568642053569
TSN,0.08113806213868135,-0.005071461511207298
TT,0.057243752575399154,-0.03374017565157472
TTWO,0.068203035349373,-0.0241530120203155
TXN,0.08816589401453012,-0.0013716941219570344
TXT,0.058614509789569724,-0.008551096226278476
TYL,0.06438891193205121,-0.029335910261378384
UAL,0.0931757305422134,0.004047783413779205
UDR,0.12461849388724389,0.016001622332711074
UHS,0.0947833260532196,-0.0025332336187360305
ULTA,0.07029383937532963,-0.022654824030466925
UNH,0.09013373065454444,-0.0020457319178739386
UNP,0.07649423997066085,0.002227075208946938
UPS,0.05858528011939157,-0.014300895985663864
URI,0.04335735754567016,-0.004323392491115019
