,score_train,score_test
A,0.11409881960242041,-0.08225899502262313
AAL,0.11677636478318687,-0.05253126398086527
AAPL,0.12882131737507652,-0.3210002199645392
ABT,0.10964525235269629,-0.16605504254225512
ACGL,0.10467806799462576,-0.009900024449169154
ACN,0.14631364400408242,-0.1654231038584506
ADBE,0.13350575763800432,-0.038499126906927694
ADI,0.1391012568730593,-0.09246638747333247
ADM,0.11103412251722533,-0.05349010670122367
ADP,0.12954939551375877,-0.017076657726210476
ADSK,0.10479382248783498,-0.09112283506266361
AEE,0.10915619639602703,-0.08343231865872225
AEP,0.12028507930363597,-0.09183596871135769
AES,0.1118702590903603,-0.12222814462179898
AFL,0.09010681888550442,-0.021001140288502196
AIG,0.10657588236903925,-0.17653713924374625
AIZ,0.13832325259684863,-0.00470236992569939
AJG,0.13437460307413274,-0.07718201448505835
AKAM,0.11591065112769527,-0.19793234203949606
ALB,0.130006095605239,-0.03169180554093365
ALGN,0.11409969643366435,-0.035284851809496365
ALL,0.09751182430418137,-0.02238264390671363
AMAT,0.1411528421343986,-0.09684959603684318
AMD,0.09190912977294441,-0.06766894753131214
AME,0.12247083918156265,-0.12146731118834841
AMGN,0.12561544479181552,-0.09158622206818112
AMP,0.1447769649559557,-0.15940118841353557
AMT,0.10700586670325085,-0.007725473875775268
AMZN,0.08728436950340435,-0.09647577723963874
ANSS,0.13402183755240393,-0.055834184646953444
AON,0.08278538761049226,-0.1715574285380086
AOS,0.10468935254181388,-0.11255790490016704
APA,0.12172553462664548,-0.24621991879514482
APD,0.14413344874149714,-0.027306376730138915
APH,0.10595135910912123,-0.17613354526815606
APTV,0.09321751100074749,-0.1307149990337022
ARE,0.1097822558782271,-0.019073047876406735
ATO,0.11877823241763052,-0.09418430059838556
AVB,0.13057781144941338,-0.04797343239514773
AVGO,0.1307088620740905,-0.11390615010067973
AVY,0.08038708223837177,-0.11329650782848222
AWK,0.12192715399087395,-0.04500673864647431
AXON,0.10302020134434486,-0.11239583143072518
AXP,0.10841945845232104,-0.10726866069046581
AZO,0.10713244035447056,-0.2313537080645629
BA,0.11958806463338478,-0.10405674203306048
BAC,0.12206450574589267,-0.15030067730128804
BALL,0.10211886046530605,-0.026168498345768842
BAX,0.11673443326298727,-0.07268080728174131
BBWI,0.11050105584215231,-0.07828161594912464
BBY,0.1256072722486693,-0.09670555680161619
BDX,0.12688650484623676,-0.09096113045086507
BEN,0.10639665452734337,-0.1561329952782804
BG,0.1133046034080415,-0.08464554747144337
BIIB,0.11488113794016552,-0.47080451146632285
BIO,0.12648665410644755,-0.04999402208556902
BK,0.13269856675309255,-0.08623101776538444
BKNG,0.10778577698043867,-0.09940242139418798
BKR,0.095017454012713,-0.1708951490814583
BLDR,0.1091336298153398,-0.34138655772259896
BLK,0.11975195491795054,-0.08993740364696423
BMY,0.12050704036862192,-0.12668190112942646
BR,0.09758858178498686,-0.04930934012638666
BRO,0.12659138586722207,-0.06608635656590423
BSX,0.11647038291535816,-0.1782159280007407
BWA,0.12580373918243382,-0.14993087221740353
BX,0.10815958162172568,0.0038397806469604445
BXP,0.11166805235777821,-0.028204284887884956
C,0.10247561751876932,-0.1598227269615069
CAG,0.12724675608867053,-0.22976561809860896
CAH,0.1201182458842357,-0.3182701731651043
CAT,0.11069749120717609,-0.025828956916217116
CB,0.14098162886546228,0.025765267528417124
CBOE,0.1113532860768569,-0.19010810753931628
CBRE,0.1070217656276885,-0.07768039665903026
CCI,0.12566571444031782,-0.07012036665624377
CCL,0.09079276094130084,-0.14686509239901446
CDNS,0.11883162655009083,-0.09656960065421227
CE,0.11433346216888451,-0.1409258791786161
CF,0.12419999584760855,-0.10348926671742431
CHD,0.11649910185284795,-0.0770942677615103
CHRW,0.09808455434549668,-0.14884181757426318
CHTR,0.10624272214298425,-0.048373508319183633
CI,0.12515626695863713,-0.062261233857670906
CINF,0.11131302116991915,-0.11671119105117556
CL,0.13626300965166105,-0.004216083778008972
CLX,0.11638862820222151,-0.059926759358695625
CMA,0.1361651318899113,0.004338467360574971
CMCSA,0.12809933988611621,-0.10398945896365674
CME,0.1169281029653163,-0.09810306612798447
CMG,0.11791417008590066,-0.18235848662638565
CMI,0.113931852349761,-0.06386979334146847
CMS,0.09530409515539073,-0.09222605958914087
CNC,0.09973807778051824,-0.29889784982194123
CNP,0.11523115371507842,-0.09538050107289964
COF,0.0894260707651584,-0.0848540825473525
COO,0.11024913081375476,-0.1279802111261812
COP,0.13175079750892715,-0.24847250128602005
COR,0.11357351095368773,-0.0897933343373265
COST,0.11897157220430743,-0.10826487754774083
CPAY,0.08155479220730755,-0.14736295745624406
CPB,0.12311814359523021,-0.09380991757304402
CPRT,0.1088979863094316,-0.1933979729982931
CPT,0.10456458105978461,-0.0356467445966544
CRL,0.12584734243861362,-0.05444150299717121
CRM,0.14274616425176534,-0.0332336405425917
CSCO,0.11989510720264163,-0.0684707707683494
CSGP,0.1236652288840503,-0.07706534180094149
CSX,0.13267438292089662,-0.2018360191447841
CTAS,0.11984359904629038,-0.026170474503462327
CTRA,0.11573942578757557,-0.1554615034661435
CTSH,0.10334826640128558,-0.08129589114173785
CVS,0.11090822173526671,-0.07926443529322347
CVX,0.10030213330850579,-0.08679489961788867
D,0.11421971666279751,-0.039878497986526096
DAL,0.11794070306285243,-0.03644819635855279
DD,0.1196673911799293,-0.11758591641671523
DE,0.123340124145211,-0.08639768105999224
DECK,0.0965376065150686,-0.1532017616458623
DFS,0.07324387930478116,-0.10898678229466152
DG,0.10719570689151614,-0.117828372847822
DGX,0.08542796183369528,-0.12385673168960376
DHI,0.09758134479095182,-0.07948023405244031
DHR,0.0980888163594662,-0.10621059693639401
DIS,0.11552202797231792,-0.14188820800616897
DLR,0.1093446851322013,-0.016653234055834965
DLTR,0.12148364191847205,-0.07659331275619441
DOC,0.10982516123714148,-0.01159709304641221
DOV,0.09442436727070036,-0.08071309227263046
DPZ,0.1138048824736485,-0.04461968317924225
DRI,0.0634528966384732,-0.4159214088123786
DTE,0.13812512936514953,-0.10117845040182294
DUK,0.08549236031572793,-0.07345386087636663
DVA,0.12138492124191513,-0.0198387659170014
DVN,0.10010315074261555,-0.17606668552157778
DXCM,0.09301554783594612,-0.09496333930610934
EA,0.12323114149650127,-0.14248423594092086
EBAY,0.1115618034124346,-0.08053270863249584
ECL,0.10232725636409234,-0.0951441633161676
ED,0.11191506263523754,-0.17180287964013186
EFX,0.10661706105926594,-0.07684182517928995
EG,0.14127504325090778,-0.06622313731591922
EIX,0.10772344933008016,-0.018173805549499322
EL,0.10449135920054842,-0.020374344694239932
ELV,0.10238207698742585,-0.058802512006038254
EMN,0.09926748863842327,-0.06335876621687819
EMR,0.1022582422742162,-0.06010948626824342
EOG,0.08756780413098375,-0.2621427259040432
EQIX,0.10857383545110455,-0.059428899311188665
EQR,0.09449668523915467,-0.018064633008005426
EQT,0.11595721789857849,-0.16957276215269745
ES,0.08039787162047607,-0.03127825554294761
ESS,0.11785013704534908,-0.05550829575742289
ETN,0.11298119974183118,-0.0364783642671358
ETR,0.09088748393053714,-0.03212098192636237
EVRG,0.10511359936456588,-0.08540883881618955
EW,0.09499854492276227,-0.12801765190363734
EXC,0.11333517215263933,-0.061520710223080144
EXPD,0.07381974140387859,-0.16646540641420704
EXPE,0.11301637342781079,-0.05539468982670104
EXR,0.10078649175661014,-0.013984291113946057
F,0.13326510452836604,-0.06184250610681685
FAST,0.15318543259912398,-0.07395783860697591
FCX,0.1059708473311517,-0.3094929288624524
FDS,0.13070527698702494,-0.1553949341543852
FDX,0.11903871203144856,-0.014300110026888913
FE,0.11308797152882377,-0.1084132845035255
FFIV,0.10561420023631907,-0.2780627923472885
FI,0.1316583333990382,-0.1011301724182343
FICO,0.13144764153156263,-0.1200531822530635
FIS,0.1320214581379413,-0.006644674071619949
FITB,0.09938462726163166,-0.06373216615868427
FMC,0.10979932729656039,-0.0713391952576028
FRT,0.10899371759486265,-0.023940132922475543
FSLR,0.11289298743366993,-0.06740884884043297
FTNT,0.11399797157917335,-0.11313960561700154
GD,0.07490102450079583,-0.053761384612092344
GE,0.14458607281921754,-0.07165964505818345
GEN,0.10358769782267696,-0.18629233523663236
GILD,0.10649639110780906,-0.14960698083942892
GIS,0.10042715629059773,-0.1282817357156163
GL,0.13738915464073964,-0.10553656859961968
GLW,0.12466769453231819,-0.09750239510401171
GM,0.08760101930671527,-0.06282306795503767
GNRC,0.09723739286878663,-0.06327272281340601
GOOG,0.12806695548226277,0.005293370967645372
GOOGL,0.1248073100777215,-0.0036843505129486864
GPC,0.08605491011903199,-0.1141294765618932
GPN,0.1043835212610873,-0.0357295511868434
GRMN,0.11475401921677097,-0.1496467815049638
GS,0.12185952466489491,-0.09628402897090349
GWW,0.13029178394469032,-0.09477020704525208
HAL,0.100552095162313,-0.23115433746872238
HAS,0.12302344001996246,-0.031462146903528776
HBAN,0.10316124626699774,-0.07427969469487383
HCA,0.09807558898135182,-0.15150207134793803
HD,0.11490948325271289,-0.0798625956580028
HES,0.11309193740343182,-0.17181430671702036
HIG,0.11971942309768968,-0.2077737245761475
HII,0.08446104020612588,-0.08349448498243328
HOLX,0.10655689041698602,-0.1485208765552426
HON,0.06802021719355411,-0.1270804741982552
HPQ,0.12855145688881975,-0.05706991993724264
HRL,0.09999971189840573,-0.1328811477884
HSIC,0.1094510949811357,-0.0999702642943825
HST,0.12448925388430043,-0.06886414665503993
HSY,0.13271833453301185,-0.12192486163203853
HUBB,0.07432824493894308,-0.08804585748811156
HUM,0.0991661997717721,-0.07228400877132857
IBM,0.101177894672274,-0.11861893945388302
ICE,0.13691810282216887,-0.09606661113941284
IDXX,0.1276616609809963,-0.08750325555490934
IEX,0.15001910019397524,-0.09856352192167228
IFF,0.11475704843226908,-0.0434490263567493
ILMN,0.12015942187013862,-0.05668963592951415
INCY,0.12421939771609403,-0.21172794830503672
INTC,0.1530472886502593,-0.09465055379275533
INTU,0.12320667160489795,0.0011995422285656643
IP,0.11335321980297564,-0.0442455620649862
IPG,0.09806261384885728,-0.17832792727631253
IRM,0.12843586579928767,-0.1092757701533944
ISRG,0.11903813800567475,-0.04559868058156025
IT,0.08032409840106591,-0.0658176791256766
ITW,0.11762679063624137,-0.11083912824370734
IVZ,0.14657010299108542,-0.07686917773487334
J,0.11037074515851064,-0.14732905001187846
JBHT,0.10187943857955728,-0.03993590966478022
JBL,0.11031064781340572,-0.04810182975112842
JCI,0.09788245609358182,-0.12560659522650774
JKHY,0.09859927117112544,-0.013460163095388333
JNJ,0.12767774375978935,-0.06511325318375638
JNPR,0.10620403827595915,-0.06351691220782407
JPM,0.11874252253029127,-0.01642183898562788
K,0.13353963729905827,-0.17995289858954266
KDP,0.11296500096153794,-0.11086532122334347
KEY,0.12961310415526428,-0.0028132129604327982
KIM,0.1106763959413326,-0.02193323006147807
KLAC,0.1238499547749673,-0.08741196033594112
KMB,0.11665111883614743,-0.08578839391426407
KMI,0.11215776444666481,-0.4514793765110494
KMX,0.10032160161833792,-0.033631608738964536
KO,0.09870097417539703,-0.13718089275684386
KR,0.10066977777320119,-0.3119120566738751
L,0.16231050539425151,-0.22435338934195026
LDOS,0.10108844138370121,-0.1193858209970231
LEN,0.08049516802580337,-0.10184152091145249
LH,0.10362664659180676,-0.1482709444425625
LHX,0.11441375754635674,-0.1424700179904015
LIN,0.1126450326232854,-0.10684008317190807
LKQ,0.09975464905978804,-0.10999606092143499
LLY,0.1251731442611308,-0.10089563549885994
LNT,0.10962551672113907,-0.04329573508867246
LOW,0.09482616507514618,-0.047644859617359314
LRCX,0.10452934963292182,-0.0873334437800648
LULU,0.10948472979364787,-0.02877190254053108
LUV,0.11435693358089971,-0.16386276212161155
LVS,0.13300487413438422,-0.020116125478855995
LYB,0.10667872251977817,-0.2915132848070796
LYV,0.09186532711772932,-0.11720539522529361
MA,0.09060305121503454,-0.02856708266932273
MAA,0.0917590198634568,-0.06484805252498993
MAR,0.0982504578703125,-0.13653449056253564
MAS,0.09834068046530764,-0.0026912646684760233
MCD,0.11245130702525796,-0.15291563657188645
MCHP,0.11527565098897807,-0.07995324560787953
MCK,0.14896717099718337,-0.1436088578249961
MCO,0.13223395024011753,-0.09730254467209676
MDLZ,0.12083064216797479,-0.007966124528354657
MDT,0.1140026684281834,-0.1379348697154783
MET,0.10427452093879042,-0.1324902143669957
MGM,0.09010518267859924,-0.19990850903800306
MHK,0.12496998857688135,-0.05873443363397657
MKC,0.12188988827227454,-0.09922421692252947
MKTX,0.11973343368457579,-0.12507446975644676
MLM,0.10781770271065472,-0.10622605301811827
MMC,0.1251563479026323,-0.12417779165233389
MMM,0.10939613778013724,-0.0053155752333684525
MNST,0.13649539287125168,-0.32105328988635096
MO,0.09926129187473876,-0.09604869552374273
MOH,0.10606941588984786,-0.060253087272167605
MOS,0.08921056963356289,-0.16456059176868232
MPC,0.11763297262926453,-0.23336036881442568
MPWR,0.16012483799272792,-0.07852872283092305
MRK,0.11841232990618245,-0.08885960168714413
MRO,0.11287775599881311,-0.4267295261965871
MS,0.11979997119068586,-0.060624429980528305
MSCI,0.14754175497241884,-0.07474412200854097
