,score_train,score_test,benchmark,p_value,correlation
CF,0.00036134559401601596,-0.007756745066693993,-3.0334294609524193e-07,0.6650964561882329,-0.019657140476321822
CHD,0.017502592820629492,-0.015854289399179988,-0.022586643442339627,0.002479757467968935,0.010560359555515474
CHRW,0.015463595419787923,0.04851359341098349,-5.154954670238965e-06,0.004474342522356248,0.2730850861775856
CHTR,0.009422639149868739,0.035250815965519045,-0.006026187866391419,0.026720077100302678,0.2303807167103208
CI,0.004177671017153051,-0.026858771896259404,-0.0007873332270667,0.1406657165841728,0.0241616816464937
CINF,0.00015453854579317028,0.002587528245510562,-0.0015125651544487528,0.7771152688781264,0.19197289642895018
CL,0.005920246928813211,-0.007490859260315341,-0.0019336753243315297,0.0793203214339645,-0.005982925523506645
CLX,0.009548506026846093,-0.03443945402022752,-0.0020210421730297856,0.025720739519238197,-0.1226723497075107
CMA,0.007333629777693251,-0.03862946134563017,-9.638483996754488e-05,0.05075006512747591,-0.17702884562360333
CMCSA,0.0007807398299759516,0.0031668071488937244,-0.026593975654665147,0.5245326539507889,0.2715477948648975
CME,0.009008486578919284,-0.001735758435917445,-0.047349445188132666,0.030302086795690884,0.07993878340393937
CMG,6.757803879597901e-06,-0.02711342778707171,-0.07296421017657972,0.9527975539498472,-0.04358466695763289
CMI,0.001663623402996639,0.02145612070783076,-0.0007584168267795732,0.35281474691609194,0.3083395038623174
CMS,0.019227247238959078,-0.051995017254576226,-0.001001781895756837,0.0015099483691931133,-0.011261371936791702
CNC,0.030853801955398552,-0.05429732935071585,-0.0017526382681911645,5.5517315427503186e-05,0.08696302811643518
CNP,0.030369876543584362,-0.021502694283516588,-3.103393937897714e-05,6.364781199323702e-05,0.06992570345501173
COF,0.05225113212957966,-0.1702694852353488,-0.026901150538923835,1.3274351053080422e-07,-0.21313668227749025
COO,0.01404007473059199,0.03480518039570468,-0.008073271223123513,0.006776107546170656,0.20636248302163884
COP,0.010293643002315722,-0.05528663459194627,-0.0008919056412366455,0.020545722140457443,-0.21193920064168625
COR,0.005204360938628083,-0.006984273585665557,-0.04514423895847841,0.10000210516239565,0.0072186732041176005
COST,0.00681108513134232,-0.04296058291354998,-0.11670315441771284,0.05977440357580292,0.016782609118971087
CPAY,0.010925884087280457,-0.006444009695975472,-0.05275945294440443,0.017001162334874278,0.15100790322437777
CPB,0.014230259382731258,-0.13323155320979674,-0.030584464616735696,0.006409534596208696,-0.15480595003905773
CPRT,0.004257193981085705,-0.03935463833416608,-0.10623936374372889,0.1369349268353642,-0.028708300326009135
CPT,0.035089610034921725,-0.037712061184816736,-0.0006367881253286356,1.6805106097747994e-05,0.023157960534235567
CRL,0.009879782059180053,0.02594371734334877,-0.003269804907200413,0.02327119598174587,0.1875091081088783
CRM,0.016298465384883887,-0.05654308403476538,-0.100537366174005,0.0035118840418159516,0.14740481994512164
CSCO,0.0007193858213918602,0.011235425281431732,-0.005210407356404545,0.5412998362861361,0.23090145553905844
CSGP,0.005239265114168501,0.007557496514903672,-0.006327804128553494,0.09886842371385302,0.10580638882540493
CSX,2.198041181289412e-06,-0.001845513575376545,-0.008913588811623852,0.9730691409464923,-0.3045011627869812
CTAS,0.00654114034340425,0.021323024756028874,-0.06338392477488086,0.06508878281160907,0.17675732994608095
CTRA,0.001356076783980309,0.013615358682874779,-0.003947329572439484,0.4015755441195439,0.20692780801170965
CTSH,0.007080120443322069,-0.0002965040285494158,-0.03561648553854768,0.05493349092792528,0.17460990091451253
CVS,0.010447281801340691,-0.003723105410304406,-0.0026894131474741734,0.0196197263943204,0.10989765022863907
